"Documentos","Turma","Disciplina","C.H.","Depto","Cursos - Ano/Sem. - Prioridade","Vagas por Curso","Vagas Calouro Veterano","","Matriculados","Atendidas","Pendentes Prioritárias Sujeitas Aprovação","","Não atendidas Prioritárias Sujeitas Aprovação","","Aprovados","Reprovados","Ausência Remota","Docente(s)","Horário","Modo de Oferta","Tipo de Oferta","Periodicidade"
"","GEL000715-GEOLOGIA","Mineralogia Geral","60.0","DG","1323E - 1/1 - Obrigatória - Integral","1323E - /","35","65","16","0","0","0","0","0","0","0","0","Guillermo Rafael Beltran Navarro","Terça: 14:00-18:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEL000815A-GEOLOGIA","Mineralogia Ótica","60.0","DG","1323E - 1/1 - Obrigatória - Integral","1323E - /","17","83","7","0","0","0","0","0","0","0","0","Guillermo Rafael Beltran Navarro","Quinta: 08:00-12:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEL000815B-GEOLOGIA","Mineralogia Ótica","60.0","DG","1323E - 1/1 - Obrigatória - Integral","1323E - /","18","82","7","0","0","0","0","0","0","0","0","Guillermo Rafael Beltran Navarro","Sexta: 14:00-18:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEL001215-GEOG-INT","Geologia","60.0","DG","1223C - I - 1/1 - Obrigatória - Integral 1215C - I - Equivalente 1223C - N - Equivalente 1215C - N - Equivalente","1223C - I - / 1215C - I - / 1223C - N - /5 1215C - N - /5","40","60","10","0","0","0","0","0","0","0","0","Giancarlo Scardia","Sexta: 08:00-12:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEL001215-GEOG-NOT","Geologia","60.0","DG","1223C - N - Equivalente 1215C - N - Equivalente 1223C - I - 1/1 - Obrigatória - Integral 1215C - I - Equivalente","1223C - N - / 1215C - N - / 1223C - I - /5 1215C - I - /5","40","60","10","0","0","0","2","0","0","0","0","Dionisio Uendro Carlos Lucas Moreira Furlan","Sexta: 19:15-23:15","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEL004015-GEOLOGIA","Petrologia Magmática","120.0","DG","1323E - 2/1 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","48","0","0","0","0","0","0","0","0","Antonio Misson Godoy Regiane Andrade Fumes","Terça: 08:00-12:00 Segunda: 14:00-18:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEL004115-GEOLOGIA","Sedimentologia","60.0","DG","1323E - 2/1 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","36","0","0","0","0","0","0","0","0","Lucas Veríssimo Warren","Quinta: 08:00-12:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEL004215-GEOLOGIA","Geometria Descritiva","60.0","DG","1323E - 2/1 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","32","0","0","0","0","0","0","0","0","George Luiz Luvizotto Rodrigo Irineu Cerri","Terça: 14:00-18:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEL004915-GEOLOGIA","Geoquímica","90.0","DG","1323E - 3/1 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","0","100","31","0","0","0","0","0","0","0","0","Sergio Caetano Filho","Segunda: 10:00-12:00 Quarta: 08:00-12:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEL005015-GEOLOGIA","Geofísica","90.0","DG","0903ES - Equivalente 1323E - 3/1 - Obrigatória - Integral 1317E - Equivalente","0903ES - /15 1323E - / 1317E - /","0","100","29","0","0","0","0","0","0","0","0","Dionisio Uendro Carlos","Quinta: 08:00-10:00 Segunda: 14:00-18:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
